Year,CAT001A,CAT002B,CAT006B,CAT013A,CAT015B,CAT018B,CAT019A,CMM001A,CMM002A,CMM003B,CMM004B,CMM006B,CMM009B,CMM010B,CMM014B,CMM015A,CMM021B,CMM022B,CMM023B,CMM024A,CMM025A,CMM026B,CMM028A,CMM029A,CMM029B,CMM031B,CMM041B,CMM042A,CMM042B,CMM053B,CMM056A,CMM059A,CMM059B,CMM067B,CMM068A,CMM072A,CMM086A,CMM086B,CMM110A,CMM112A,CMM117A,CMM118A,CMM121A,CMM133A,CMM134A
1613,,,0.976070393,,0.977978735,1.189372228,,,,0.917627445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.474854765,,1.349484889,0.524085076,,1.049132957,
1614,,,0.757591377,1.483604921,0.864292208,1.294117488,,,,0.679607639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.694970479,,0.488940258,1.565679439,,1.582941925,
1615,,,1.311128254,1.203389246,1.203816413,1.308563905,,,,1.283851762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.878860058,,1.128778562,1.148721524,,1.262778568,
1616,,,0.911130274,0.941647433,0.423943661,1.043941824,,,,0.399119886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52672065,,0.991334315,0.797514802,,0.853859872,
1617,,,0.620621956,1.138753678,1.061752697,1.285352772,,,,1.053649378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.936837949,,1.164002387,1.717916574,,1.256942432,
1618,,,1.4365425,1.194456051,1.531944823,1.502429771,,,,1.374946161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.857913428,,0.74177198,2.426283498,,1.938029353,
1619,,,0.800296924,0.478199948,0.643351333,0.656009231,,,,0.309875624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.820020234,,0.899303619,0.936670921,,0.700211001,
1620,,,1.103081795,0.341748229,0.744847902,1.054187008,,,,0.725283735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.893828072,,1.323462755,0.797857567,,0.705103574,
1621,,,1.176789494,0.950283545,1.501782032,1.322814118,,,,1.410354254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28624802,,1.317382921,1.585448133,,1.591769148,
1622,,,1.001196279,1.008320729,0.841071793,1.075408607,,,,0.9720892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.811712099,,0.76963261,0.682653004,,0.5777379,
1623,,,1.096501878,1.051707362,0.509506809,0.714957744,,,,0.466384802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.019430928,,0.986035771,0.44913417,,0.644108837,
1624,,,0.573360951,0.892156144,0.451699438,0.837681886,,,,0.554340183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42463193,,0.71156604,0.50985725,,0.48961817,
1625,,,0.364407254,0.988610015,0.68969944,1.076351481,,,,0.703247586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703051803,,0.837620727,0.652404425,,0.850677139,
1626,,,1.16045986,1.234604601,1.276419519,1.01725974,,,,1.285365182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.119632505,,1.321675044,1.178368058,,1.350371139,
1627,,,0.953396635,0.779623911,1.025736154,0.738327209,,,,0.87892014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.901339155,,0.575360287,0.859321817,,0.911887913,
1628,,,0.894757054,0.652911099,0.444928049,0.740330262,,,,0.487092772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.705248873,,1.559903446,0.734300426,,0.386248294,
1629,,,1.079408362,1.063539958,0.936320959,0.986239252,,,,0.956897921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968241399,,1.075864956,0.811288677,,0.674571478,
1630,,,1.237228763,0.971266072,1.261389034,1.258176407,,,,1.237621995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993150395,,0.355151969,1.090166994,,0.931032846,
1631,,,0.584502421,0.543105775,0.573303889,0.589718508,,,,0.553253781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82510121,,0.556737631,0.239676027,,0.572873489,
1632,,,0.630901287,0.579970533,0.387556499,0.654785288,,,,0.390550199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.735396702,,0.841764323,0.493771029,,0.718642775,
1633,,,1.540941135,1.806190627,1.844996002,1.396150864,,,,1.748507425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.036147823,,1.928616845,1.101255764,,1.575090003,
