"PlotID","Site","Year","Release.Minor","Release.Major","n.Minor","n.Major","n.Plot","p.Minor","p.Major","time.Minor","time.Major","peak.Minor.mag","peak.Major.mag","peak.Minor.ext","peak.Major.ext"
"VLF0","VLF",1880,0,0,0,0,0,0,0,37,37,0,0,0,0
"VLF1","VLF",1880,0,0,0,0,0,0,0,37,37,0,0,0,0
"VUF0","VUF",1880,0,0,0,0,0,0,0,37,37,0,0,0,0
"VUF1","VUF",1880,0,0,0,0,0,0,0,37,37,0,0,0,0
"VLF0","VLF",1881,0,0,0,0,0,0,0,38,38,0,0,0,0
"VLF1","VLF",1881,0,0,0,0,0,0,0,38,38,0,0,0,0
"VUF0","VUF",1881,0,0,0,0,0,0,0,38,38,0,0,0,0
"VUF1","VUF",1881,0,0,0,0,0,0,0,38,38,0,0,0,0
"VLF0","VLF",1882,0,0,0,0,0,0,0,39,39,0,0,0,0
"VLF1","VLF",1882,0,0,0,0,0,0,0,39,39,0,0,0,0
"VUF0","VUF",1882,0,0,0,0,0,0,0,39,39,0,0,0,0
"VUF1","VUF",1882,0,0,0,0,0,0,0,39,39,0,0,0,0
"VLF0","VLF",1883,0,0,0,0,0,0,0,40,40,0,0,0,0
"VLF1","VLF",1883,0,0,0,0,0,0,0,40,40,0,0,0,0
"VUF0","VUF",1883,0,0,0,0,0,0,0,40,40,0,0,0,0
"VUF1","VUF",1883,0,0,0,0,0,0,0,40,40,0,0,0,0
"VLF0","VLF",1884,0,0,0,0,0,0,0,41,41,0,0,0,0
"VLF1","VLF",1884,0,0,0,0,0,0,0,41,41,0,0,0,0
"VUF0","VUF",1884,0,0,0,0,0,0,0,41,41,0,0,0,0
"VUF1","VUF",1884,0,0,0,0,0,0,0,41,41,0,0,0,0
"VLF0","VLF",1885,0,0,0,0,0,0,0,42,42,0,0,0,0
"VLF1","VLF",1885,0,0,0,0,0,0,0,42,42,0,0,0,0
"VUF0","VUF",1885,0,0,0,0,0,0,0,42,42,0,0,0,0
"VUF1","VUF",1885,0,0,0,0,0,0,0,42,42,0,0,0,0
"VLF0","VLF",1886,0,0,0,0,0,0,0,43,43,0,0,0,0
"VLF1","VLF",1886,0,0,0,0,0,0,0,43,43,0,0,0,0
"VUF0","VUF",1886,0,0,0,0,0,0,0,43,43,0,0,0,0
"VUF1","VUF",1886,0,0,0,0,0,0,0,43,43,0,0,0,0
"VLF0","VLF",1887,0,0,0,0,0,0,0,44,44,0,0,0,0
"VLF1","VLF",1887,0,0,0,0,0,0,0,44,44,0,0,0,0
"VUF0","VUF",1887,0,0,0,0,0,0,0,44,44,0,0,0,0
"VUF1","VUF",1887,0,0,0,0,0,0,0,44,44,0,0,0,0
"VLF0","VLF",1888,0,0,0,0,0,0,0,45,45,0,0,0,0
"VLF1","VLF",1888,0,0,0,0,0,0,0,45,45,0,0,0,0
"VUF0","VUF",1888,0,0,0,0,0,0,0,45,45,0,0,0,0
"VUF1","VUF",1888,0,0,0,0,0,0,0,45,45,0,0,0,0
"VLF0","VLF",1889,0,0,0,0,0,0,0,46,46,0,0,0,0
"VLF1","VLF",1889,0,0,0,0,0,0,0,46,46,0,0,0,0
"VUF0","VUF",1889,0,0,0,0,0,0,0,46,46,0,0,0,0
"VUF1","VUF",1889,0,0,0,0,0,0,0,46,46,0,0,0,0
"VLF0","VLF",1890,0,0,0,0,0,0,0,47,47,0,0,0,0
"VLF1","VLF",1890,0,0,0,0,0,0,0,47,47,0,0,0,0
"VUF0","VUF",1890,0,0,0,0,0,0,0,47,47,0,0,0,0
"VUF1","VUF",1890,0,0,0,0,0,0,0,47,47,0,0,0,0
"VLF0","VLF",1891,0,0,0,0,0,0,0,48,48,0,0,0,0
"VLF1","VLF",1891,0,0,0,0,0,0,0,48,48,0,0,0,0
"VUF0","VUF",1891,0,0,0,0,0,0,0,48,48,0,0,0,0
"VUF1","VUF",1891,0,0,0,0,0,0,0,48,48,0,0,0,0
"VLF0","VLF",1892,0,0,0,0,0,0,0,49,49,0,0,0,0
"VLF1","VLF",1892,0,0,0,0,0,0,0,49,49,0,0,0,0
"VUF0","VUF",1892,0,0,0,0,0,0,0,49,49,0,0,0,0
"VUF1","VUF",1892,0,0,0,0,0,0,0,49,49,0,0,0,0
"VLF0","VLF",1893,0,0,0,0,0,0,0,50,50,0,0,0,0
"VLF1","VLF",1893,0,0,0,0,0,0,0,50,50,0,0,0,0
"VUF0","VUF",1893,0,0,0,0,0,0,0,50,50,0,0,0,0
"VUF1","VUF",1893,0,0,0,0,0,0,0,50,50,0,0,0,0
"VLF0","VLF",1894,0,0,0,0,0,0,0,51,51,0,0,0,0
"VLF1","VLF",1894,0,0,0,0,0,0,0,51,51,0,0,0,0
"VUF0","VUF",1894,0,0,0,0,0,0,0,51,51,0,0,0,0
"VUF1","VUF",1894,0,0,0,0,0,0,0,51,51,0,0,0,0
"VLF0","VLF",1895,0,0,0,0,0,0,0,52,52,0,0,0,0
"VLF1","VLF",1895,0,0,0,0,0,0,0,52,52,0,0,0,0
"VUF0","VUF",1895,0,0,0,0,0,0,0,52,52,0,0,0,0
"VUF1","VUF",1895,0,0,0,0,0,0,0,52,52,0,0,0,0
"VLF0","VLF",1896,0,0,0,0,0,0,0,53,53,0,0,0,0
"VLF1","VLF",1896,0,0,0,0,0,0,0,53,53,0,0,0,0
"VUF0","VUF",1896,0,0,0,0,0,0,0,53,53,0,0,0,0
"VUF1","VUF",1896,0,0,0,0,0,0,0,53,53,0,0,0,0
"VLF0","VLF",1897,0,0,0,0,0,0,0,54,54,0,0,0,0
"VLF1","VLF",1897,0,0,0,0,0,0,0,54,54,0,0,0,0
"VUF0","VUF",1897,0,0,0,0,0,0,0,54,54,0,0,0,0
"VUF1","VUF",1897,0,0,0,0,0,0,0,54,54,0,0,0,0
"VLF0","VLF",1898,0,0,0,0,0,0,0,55,55,0,0,0,0
"VLF1","VLF",1898,0,0,0,0,0,0,0,55,55,0,0,0,0
"VUF0","VUF",1898,0,0,0,0,0,0,0,55,55,0,0,0,0
"VUF1","VUF",1898,0,0,0,0,0,0,0,55,55,0,0,0,0
"VLF0","VLF",1899,0,0,0,0,0,0,0,56,56,0,0,0,0
"VLF1","VLF",1899,0,0,0,0,0,0,0,56,56,0,0,0,0
"VUF0","VUF",1899,0,0,0,0,0,0,0,56,56,0,0,0,0
"VUF1","VUF",1899,0,0,0,0,0,0,0,56,56,0,0,0,0
"VLF0","VLF",1900,0,0,0,0,0,0,0,57,57,0,0,0,0
"VLF1","VLF",1900,0,0,0,0,0,0,0,57,57,0,0,0,0
"VUF0","VUF",1900,0,0,0,0,0,0,0,57,57,0,0,0,0
"VUF1","VUF",1900,0,0,0,0,0,0,0,57,57,0,0,0,0
"VLF0","VLF",1901,0,0,0,0,0,0,0,58,58,0,0,0,0
"VLF1","VLF",1901,0,0,0,0,0,0,0,58,58,0,0,0,0
"VUF0","VUF",1901,0,0,0,0,0,0,0,58,58,0,0,0,0
"VUF1","VUF",1901,0,0,0,0,0,0,0,58,58,0,0,0,0
"VLF0","VLF",1902,0,0,0,0,0,0,0,59,59,0,0,0,0
"VLF1","VLF",1902,0,0,0,0,0,0,0,59,59,0,0,0,0
"VUF0","VUF",1902,0,0,0,0,0,0,0,59,59,0,0,0,0
"VUF1","VUF",1902,0,0,0,0,0,0,0,59,59,0,0,0,0
"VLF0","VLF",1903,0,0,0,0,0,0,0,60,60,0,0,0,0
"VLF1","VLF",1903,0,0,0,0,0,0,0,60,60,0,0,0,0
"VUF0","VUF",1903,0,0,0,0,0,0,0,60,60,0,0,0,0
"VUF1","VUF",1903,0,0,0,0,0,0,0,60,60,0,0,0,0
"VLF0","VLF",1904,0,0,0,0,0,0,0,61,61,0,0,0,0
"VLF1","VLF",1904,0,0,0,0,0,0,0,61,61,0,0,0,0
"VUF0","VUF",1904,0,0,0,0,0,0,0,61,61,0,0,0,0
"VUF1","VUF",1904,0,0,0,0,0,0,0,61,61,0,0,0,0
"VLF0","VLF",1905,0,0,0,0,0,0,0,62,62,0,0,0,0
"VLF1","VLF",1905,0,0,0,0,0,0,0,62,62,0,0,0,0
"VUF0","VUF",1905,0,0,0,0,0,0,0,62,62,0,0,0,0
"VUF1","VUF",1905,0,0,0,0,0,0,0,62,62,0,0,0,0
"VLF0","VLF",1906,0,0,0,0,0,0,0,63,63,0,0,0,0
"VLF1","VLF",1906,0,0,0,0,0,0,0,63,63,0,0,0,0
"VUF0","VUF",1906,0,0,0,0,0,0,0,63,63,0,0,0,0
"VUF1","VUF",1906,0,0,0,0,0,0,0,63,63,0,0,0,0
"VLF0","VLF",1907,0,0,0,0,0,0,0,64,64,0,0,0,0
"VLF1","VLF",1907,0,0,0,0,0,0,0,64,64,0,0,0,0
"VUF0","VUF",1907,0,0,0,0,0,0,0,64,64,0,0,0,0
"VUF1","VUF",1907,0,0,0,0,0,0,0,64,64,0,0,0,0
"VLF0","VLF",1908,0,0,0,0,0,0,0,65,65,0,0,0,0
"VLF1","VLF",1908,0,0,0,0,0,0,0,65,65,0,0,0,0
"VUF0","VUF",1908,0,0,0,0,0,0,0,65,65,0,0,0,0
"VUF1","VUF",1908,0,0,0,0,0,0,0,65,65,0,0,0,0
"VLF0","VLF",1909,0,0,0,0,0,0,0,66,66,0,0,0,0
"VLF1","VLF",1909,0,0,0,0,0,0,0,66,66,0,0,0,0
"VUF0","VUF",1909,0,0,0,0,0,0,0,66,66,0,0,0,0
"VUF1","VUF",1909,0,0,0,0,0,0,0,66,66,0,0,0,0
"VLF0","VLF",1910,0,0,0,0,0,0,0,67,67,0,0,0,0
"VLF1","VLF",1910,0,0,0,0,0,0,0,67,67,0,0,0,0
"VUF0","VUF",1910,0,0,0,0,0,0,0,67,67,0,0,0,0
"VUF1","VUF",1910,0,0,0,0,0,0,0,67,67,0,0,0,0
"VLF0","VLF",1911,0,0,0,0,0,0,0,68,68,0,0,0,0
"VLF1","VLF",1911,0,0,0,0,0,0,0,68,68,0,0,0,0
"VUF0","VUF",1911,0,0,0,0,0,0,0,68,68,0,0,0,0
