"","series","first","last","year","mean","median","stdev","skew","sens1","sens2","gini","ar1"
"546","HOW3038E",1923,2013,91,0.87,0.807,0.398,0.576,0.159,0.164,0.256,0.842
"547","HOW3042S",1930,2013,84,1.355,1.348,0.486,0.362,0.183,0.178,0.203,0.797
"548","HOW3042N",1900,2013,114,1.11,1.101,0.573,-0.107,0.226,0.17,0.296,0.9
"549","HOW3043W",1902,2013,112,1.364,1.381,0.534,-0.035,0.214,0.184,0.223,0.778
"550","HOW3043E",1920,2013,94,1.039,1.05,0.347,0.454,0.181,0.169,0.185,0.776
"551","HOW3044S",1929,2013,85,0.992,1.073,0.606,0.162,0.219,0.174,0.347,0.904
"552","HOW3044N",1915,2013,99,0.675,0.638,0.414,0.296,0.218,0.168,0.349,0.916
"553","HOW3045W",1926,2013,88,1.32,1.289,0.71,0.356,0.187,0.168,0.305,0.88
"554","HOW3046N",1888,2013,126,1.091,1,0.49,0.651,0.182,0.168,0.25,0.861
"555","HOW3046S",1886,2013,128,1.268,1.183,0.506,0.15,0.214,0.185,0.226,0.812
"556","HOW3047E",1880,2013,134,1.171,0.936,0.781,0.946,0.223,0.191,0.363,0.925
"557","HOW3048N",1918,2013,96,0.606,0.438,0.373,1.131,0.198,0.206,0.326,0.849
"558","HOW3048S",1919,2012,94,0.986,0.981,0.453,0.205,0.197,0.196,0.26,0.836
"559","HOW3049S",1960,2013,54,0.898,0.825,0.408,1.544,0.176,0.175,0.23,0.798
"560","HOW3049N",1960,2013,54,1.022,1.043,0.447,0.462,0.167,0.165,0.244,0.827
"561","HOW3052N",1892,2013,122,1.15,1.055,0.516,0.776,0.242,0.227,0.246,0.725
"562","HOW3053W",1954,2013,60,1.311,1.011,0.931,0.966,0.19,0.162,0.381,0.936
"563","HOW3053E",1904,2013,110,1.042,0.952,0.652,1.121,0.198,0.207,0.337,0.853
"564","HOW3055N",1948,2013,66,1.316,1.379,0.654,0.391,0.193,0.196,0.279,0.838
"565","HOW3055S",1922,2013,92,1.241,1.192,0.612,1.396,0.203,0.223,0.261,0.736
"566","HOW3058E",1908,2013,106,1.02,0.938,0.646,1.71,0.251,0.23,0.318,0.863
"567","HOW3058W",1969,2013,45,0.738,0.7,0.248,0.353,0.228,0.225,0.188,0.525
"568","HOW3059W",1933,2013,81,0.427,0.36,0.366,1.182,0.367,0.238,0.457,0.92
"569","HOW3059E",1934,1991,58,0.676,0.567,0.402,0.707,0.2,0.178,0.327,0.891
"570","HOW3060N",1905,2013,109,0.753,0.696,0.331,0.872,0.231,0.222,0.238,0.756
"571","HOW3060S",1905,2013,109,0.867,0.786,0.461,0.697,0.231,0.194,0.295,0.865
"572","HOW3061E",1890,2013,124,1.579,1.519,0.613,0.12,0.226,0.18,0.218,0.819
"573","HOW3061S",1925,2013,89,1.565,1.467,0.461,0.429,0.138,0.133,0.165,0.785
"574","HOW3064W",1936,2013,78,1.986,1.92,0.454,0.614,0.158,0.153,0.123,0.645
"575","HOW3064E",1948,2013,66,1.72,1.443,0.806,0.795,0.189,0.185,0.256,0.859
"576","HOW3066N",1849,2013,165,0.847,0.816,0.47,0.362,0.293,0.246,0.315,0.795
