"PlotID","Site","Year","Release.Minor","Release.Major","n.Minor","n.Major","n.Plot","p.Minor","p.Major"
"VLF0","VLF",1881,0,0,0,0,0,0,0
"VLF1","VLF",1881,0,0,0,0,0,0,0
"VUF0","VUF",1881,0,0,0,0,0,0,0
"VUF1","VUF",1881,0,0,0,0,0,0,0
"VLF0","VLF",1882,0,0,0,0,0,0,0
"VLF1","VLF",1882,0,0,0,0,0,0,0
"VUF0","VUF",1882,0,0,0,0,0,0,0
"VUF1","VUF",1882,0,0,0,0,0,0,0
"VLF0","VLF",1883,0,0,0,0,0,0,0
"VLF1","VLF",1883,0,0,0,0,0,0,0
"VUF0","VUF",1883,0,0,0,0,0,0,0
"VUF1","VUF",1883,0,0,0,0,0,0,0
"VLF0","VLF",1884,0,0,0,0,0,0,0
"VLF1","VLF",1884,0,0,0,0,0,0,0
"VUF0","VUF",1884,0,0,0,0,0,0,0
"VUF1","VUF",1884,0,0,0,0,0,0,0
"VLF0","VLF",1885,0,0,0,0,0,0,0
"VLF1","VLF",1885,0,0,0,0,0,0,0
"VUF0","VUF",1885,0,0,0,0,0,0,0
"VUF1","VUF",1885,0,0,0,0,0,0,0
"VLF0","VLF",1886,0,0,0,0,0,0,0
"VLF1","VLF",1886,0,0,0,0,0,0,0
"VUF0","VUF",1886,0,0,0,0,0,0,0
"VUF1","VUF",1886,0,0,0,0,0,0,0
"VLF0","VLF",1887,0,0,0,0,0,0,0
"VLF1","VLF",1887,0,0,0,0,0,0,0
"VUF0","VUF",1887,0,0,0,0,0,0,0
"VUF1","VUF",1887,0,0,0,0,0,0,0
"VLF0","VLF",1888,0,0,0,0,0,0,0
"VLF1","VLF",1888,0,0,0,0,0,0,0
"VUF0","VUF",1888,0,0,0,0,0,0,0
"VUF1","VUF",1888,0,0,0,0,0,0,0
"VLF0","VLF",1889,0,0,0,0,0,0,0
"VLF1","VLF",1889,0,0,0,0,0,0,0
"VUF0","VUF",1889,0,0,0,0,0,0,0
"VUF1","VUF",1889,0,0,0,0,0,0,0
"VLF0","VLF",1890,0,0,0,0,0,0,0
"VLF1","VLF",1890,0,0,0,0,0,0,0
"VUF0","VUF",1890,0,0,0,0,0,0,0
"VUF1","VUF",1890,0,0,0,0,0,0,0
"VLF0","VLF",1891,0,0,0,0,0,0,0
"VLF1","VLF",1891,0,0,0,0,0,0,0
"VUF0","VUF",1891,0,0,0,0,0,0,0
"VUF1","VUF",1891,0,0,0,0,0,0,0
"VLF0","VLF",1892,0,0,0,0,0,0,0
"VLF1","VLF",1892,0,0,0,0,0,0,0
"VUF0","VUF",1892,0,0,0,0,0,0,0
"VUF1","VUF",1892,0,0,0,0,0,0,0
"VLF0","VLF",1893,0,0,0,0,0,0,0
"VLF1","VLF",1893,0,0,0,0,0,0,0
"VUF0","VUF",1893,0,0,0,0,0,0,0
"VUF1","VUF",1893,0,0,0,0,0,0,0
"VLF0","VLF",1894,0,0,0,0,0,0,0
"VLF1","VLF",1894,0,0,0,0,0,0,0
"VUF0","VUF",1894,0,0,0,0,0,0,0
"VUF1","VUF",1894,0,0,0,0,0,0,0
"VLF0","VLF",1895,0,0,0,0,0,0,0
"VLF1","VLF",1895,0,0,0,0,0,0,0
"VUF0","VUF",1895,0,0,0,0,0,0,0
"VUF1","VUF",1895,0,0,0,0,0,0,0
"VLF0","VLF",1896,0,0,0,0,0,0,0
