year,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,mam,mjj
1955,2,-5.599999,-10.7,-11,-12.6,-7.099999,-2.4,2.9,6.699999,11.3,11.5,6,0.4,-6.599999,-7.300001,-2.199999667,6.966666333
1956,0.4,-6.599999,-7.300001,-7.5,-11.5,-7,-2.7,4.599999,9.8,11.1,9.2,6.5,0.7,-9.9,-11.3,-1.700000333,8.499999667
1957,0.7,-9.9,-11.3,-7.8,-4.7,-5.9,-3,2.2,7.699999,12,11,4.7,1.5,-7.8,-9.5,-2.233333333,7.299999667
1958,1.5,-7.8,-9.5,-11.4,-7,-7.199999,-2.7,4.8,9.3,10.7,11.2,7,0.2,-6.4,-8.5,-1.699999667,8.266666667
1959,0.2,-6.4,-8.5,-12,-9.1,-8.8,-1.4,3.8,9.4,10.8,10.9,5.099999,-0.6,-7.8,-8.5,-2.133333333,8
1960,-0.6,-7.8,-8.5,-12.9,-11.5,-5.8,-1.7,2.5,8.3,11,10.3,6.3,-0.1,-5.5,-10.8,-1.666666667,7.266666667
1961,-0.1,-5.5,-10.8,-12.8,-8.8,-6.199999,-3.6,3.3,8.2,9.800001,10.4,4.5,-0.8,-7.3,-11.8,-2.166666333,7.100000333
1962,-0.8,-7.3,-11.8,-12.7,-6.9,-9.9,-1.3,2.2,6.9,10.8,9.2,6.8,0.3,-4,-9.1,-3,6.633333333
1963,0.3,-4,-9.1,-14.4,-8.8,-7.099999,-0.8000001,5.3,7.599999,12.4,11.3,8.199999,2.2,-5.699999,-12.3,-0.866666367,8.433333
1964,2.2,-5.699999,-12.3,-14.9,-12.6,-9.1,-3,4.2,7.099999,11.8,10.6,6.599999,-0.6999999,-7,-11.2,-2.633333333,7.699999667
1965,-0.6999999,-7,-11.2,-9.199999,-10.7,-8,-1.6,2.2,6,11.7,9.5,5.5,-0.5,-3.5,-9.1,-2.466666667,6.633333333
1966,-0.5,-3.5,-9.1,-13.5,-12.4,-7.4,-2.5,3.7,7.599999,12.5,10,6,-0.5,-4.7,-10.6,-2.066666667,7.933333
1967,-0.5,-4.7,-10.6,-12.5,-9.4,-4.2,-1,2.6,7,12.4,10.3,6.9,0.2,-4.7,-11,-0.866666667,7.333333333
1968,0.2,-4.7,-11,-10.9,-7.3,-5.599999,-2.7,2.5,8.1,11,9.3,4.9,0.3,-5.699999,-11.9,-1.933333,7.2
1969,0.3,-5.699999,-11.9,-8,-8.9,-8.9,-0.5,4.7,7.4,12.9,12.3,7.099999,-0.2,-7.099999,-8.1,-1.566666667,8.333333333
1970,-0.2,-7.099999,-8.1,-11.8,-7.1,-7.4,-4,3.4,7.099999,12.1,11.2,4.8,-1.8,-5.599999,-9.2,-2.666666667,7.533333
