year,poct,pnov,pdec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cool.pdsi,warm.pdsi
1896,1.841031,2.053672,2.020226,-0.1566843,-0.1276323,-0.2378981,-0.4060082,-0.8577133,-1.32245,0.4859462,-0.774141,0.9371336,2.73362,2.367692,2.064966,0.712386586,-0.3062449
1897,2.73362,2.367692,2.064966,2.043108,2.374644,2.679445,2.347938,3.140244,2.989106,2.530276,2.113697,2.155064,2.323123,-0.307532,-0.2329544,2.373059,2.5856774
1898,2.323123,-0.307532,-0.2329544,-3.25E-02,-0.148057,-0.2312009,2.04E-02,2.41E-03,0.2586493,0.5563616,-0.1404477,-0.4156255,-0.6480178,9.52E-02,0.7402376,0.198752127,0.052269402
1899,-0.6480178,9.52E-02,0.7402376,0.6292471,1.078721,1.046854,-0.3170912,-0.8034434,0.1753208,2.272273,-0.8547115,-0.6902155,-0.678071,-0.7139857,-0.6405717,0.375015977,0.01984468
1900,-0.678071,-0.7139857,-0.6405717,-0.7483125,-0.7420681,-1.025833,2.504677,2.408994,-1.72E-03,-0.4648556,-0.7477235,-0.2572826,-0.3206696,-0.4094039,-0.5580945,-0.292023571,0.187482732
1901,-0.3206696,-0.4094039,-0.5580945,-0.62839,-0.5028039,-0.7504144,4.52E-02,1.793597,-0.7963938,-0.6520081,-0.5362436,-0.4901686,-0.4959688,-0.4022411,-0.5675827,-0.446362611,-0.13624342
1902,-0.4959688,-0.4022411,-0.5675827,-0.6344255,-1.221885,-1.464223,-2.494011,-1.452403,-1.867352,-2.753014,-2.195876,-1.930183,-2.336869,0.1147877,0.8232043,-1.040048157,-2.0397656
1903,-2.336869,0.1147877,0.8232043,0.4973707,1.840694,1.966086,2.060045,1.670347,2.742149,-0.5000519,-0.6039445,-0.5621742,-0.8072375,-1.081709,-1.410271,0.709331243,0.54926508
1904,-0.8072375,-1.081709,-1.410271,-1.44615,-2.429605,-2.725509,-3.320277,-3.062746,1.117436,0.5360344,0.7125901,3.402773,3.147731,2.50412,2.350908,-1.888679786,0.5412175
1905,3.147731,2.50412,2.350908,2.429553,2.937315,3.247878,4.355438,4.140446,3.943946,3.390121,2.671735,2.751801,2.264164,2.736972,2.511982,2.996134714,3.3796098
1906,2.264164,2.736972,2.511982,2.304412,2.143139,2.31325,2.659069,2.319116,1.928629,2.23047,1.791119,2.015617,1.956468,1.887221,1.840665,2.418998286,2.0569902
1907,1.956468,1.887221,1.840665,1.847046,1.382752,0.8797427,1.323527,1.830365,1.655321,1.440336,1.831982,-0.1882718,-0.1434013,-0.2147586,-0.2774467,1.5882031,1.31394644
1908,-0.1434013,-0.2147586,-0.2774467,-0.3452931,0.2781583,5.11E-02,0.3926477,-0.1183134,-0.3907608,0.2400724,1.439505,-0.4209075,-0.4991921,-0.3290604,-0.2215118,-0.03700476,0.14991914
1909,-0.4991921,-0.3290604,-0.2215118,-0.3119987,-0.2261658,-0.1867509,-0.5733367,-1.036658,-1.645274,-1.660531,0.4590449,1.604025,1.313006,1.135427,1.300546,-0.335430914,-0.45587862
1910,1.313006,1.135427,1.300546,1.231981,1.297943,-0.2445742,-0.2589027,-0.6392182,-0.959514,-1.585896,-1.522326,-2.043051,-1.617605,-1.747599,-1.964236,0.825060871,-1.35000104
1911,-1.617605,-1.747599,-1.964236,-2.003456,2.030311,1.959139,1.738874,1.458644,1.368002,2.214163,1.777955,1.826064,2.373266,2.223847,2.053523,-0.229224571,1.7289656
1912,2.373266,2.223847,2.053523,1.63808,1.528259,1.700123,1.523827,1.146515,1.617601,-3.87E-02,-0.152106,-0.2910265,-0.337177,-0.5979571,-0.8631926,1.862989286,0.456464726
1913,-0.337177,-0.5979571,-0.8631926,6.35E-02,0.9829453,1.144511,-6.05E-03,-0.4674504,2.573766,1.850715,1.363378,1.606136,1.241501,1.213841,1.551516,0.055218359,1.38530892
1914,1.241501,1.213841,1.551516,1.542061,1.448048,1.193871,1.565687,2.157408,2.204089,3.000668,2.80252,2.192962,2.476986,1.813129,1.986631,1.393789286,2.4715294
