"Site.Name","Year","pJan","pFeb","pMar","pApr","pMay","pJun","pJul","pAug","pSep","pOct","pNov","pDec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Michigan AmerifluxTower","1951",-0.436855204439981,-3.10988855797438,0.191051813715605,4.98490198158641,17.9348015196366,23.8512393889511,24.760523368515,21.9063769468204,18.4820665106783,15.8996423371367,4.94795055593632,-2.554222906238,-2.94843874759623,-1.64845417972855,1.40798513099003,9.13490197674884,20.7555768543337,22.3926240285735,24.755560581458,23.3341755687866,18.7357107428928,13.7540701060083,1.88719114692741,-1.10011768737699
"Michigan AmerifluxTower","1952",-2.94843874759623,-1.64845417972855,1.40798513099003,9.13490197674884,20.7555768543337,22.3926240285735,24.755560581458,23.3341755687866,18.7357107428928,13.7540701060083,1.88719114692741,-1.10011768737699,-1.39462150191773,-0.576401490632864,0.917523982585147,13.1920899840656,17.1533510958059,23.8912221413589,27.1392462936808,24.6512575961568,21.9011087679108,11.2588909582478,7.56564052319045,1.74063370271715
"Michigan AmerifluxTower","1953",-1.39462150191773,-0.576401490632864,0.917523982585147,13.1920899840656,17.1533510958059,23.8912221413589,27.1392462936808,24.6512575961568,21.9011087679108,11.2588909582478,7.56564052319045,1.74063370271715,-1.04815199445144,-1.12689814956784,3.38397742137531,8.73368664052473,18.8811549522721,24.3401041835077,26.4807014749935,26.0279412419652,20.759672090833,17.7512470071241,9.12934145734252,1.53854551736754
"Michigan AmerifluxTower","1954",-1.04815199445144,-1.12689814956784,3.38397742137531,8.73368664052473,18.8811549522721,24.3401041835077,26.4807014749935,26.0279412419652,20.759672090833,17.7512470071241,9.12934145734252,1.53854551736754,-3.79938047119434,1.5626132390153,0.723169253220169,11.1364513050467,15.1892172509745,24.1455232808593,25.0575617125627,24.2021876587979,18.1426972190103,13.4931425695262,7.02736141284526,-0.975543754705884
"Michigan AmerifluxTower","1955",-3.79938047119434,1.5626132390153,0.723169253220169,11.1364513050467,15.1892172509745,24.1455232808593,25.0575617125627,24.2021876587979,18.1426972190103,13.4931425695262,7.02736141284526,-0.975543754705884,-2.9880677141717,-2.43042065541653,0.563177257327121,14.2649774277121,20.2838733654182,24.7135210816394,30.2760749361422,29.1278491955338,20.7749719484895,15.1858055971683,3.7313939791247,-2.90128945249208
"Michigan AmerifluxTower","1956",-2.9880677141717,-2.43042065541653,0.563177257327121,14.2649774277121,20.2838733654182,24.7135210816394,30.2760749361422,29.1278491955338,20.7749719484895,15.1858055971683,3.7313939791247,-2.90128945249208,-3.00611535873972,-1.80760864564989,0.362724120777157,7.54955647920337,15.7837989947636,24.4103794611725,23.1147987267229,23.7284862569755,17.6775625517961,17.6056177640927,6.73927652149448,0.184355946061792
"Michigan AmerifluxTower","1957",-3.00611535873972,-1.80760864564989,0.362724120777157,7.54955647920337,15.7837989947636,24.4103794611725,23.1147987267229,23.7284862569755,17.6775625517961,17.6056177640927,6.73927652149448,0.184355946061792,-5.50806768999849,-1.02760068208283,3.04267258588243,10.8681197286589,16.8255165027197,23.0604446919729,25.9770652424218,24.0914286501055,19.0792348948508,13.0643894830129,5.57725586642489,0.864399448252901
"Michigan AmerifluxTower","1958",-5.50806768999849,-1.02760068208283,3.04267258588243,10.8681197286589,16.8255165027197,23.0604446919729,25.9770652424218,24.0914286501055,19.0792348948508,13.0643894830129,5.57725586642489,0.864399448252901,-2.53208419061663,-5.20162640017358,3.26825995255518,12.4658478652256,16.7644780276363,20.9964066335022,24.7698293047975,24.8459397378115,20.1400297760025,14.4762687906352,7.36995173849421,-4.39691323360678
"Michigan AmerifluxTower","1959",-2.53208419061663,-5.20162640017358,3.26825995255518,12.4658478652256,16.7644780276363,20.9964066335022,24.7698293047975,24.8459397378115,20.1400297760025,14.4762687906352,7.36995173849421,-4.39691323360678,-5.88093641239032,-5.01873469999612,1.54242997713957,8.89941593737993,20.2481189476236,24.8149477800361,26.7345188079724,26.9073391058699,20.9742398756389,11.0112984658616,2.07018160301766,0.857935284025323
"Michigan AmerifluxTower","1960",-5.88093641239032,-5.01873469999612,1.54242997713957,8.89941593737993,20.2481189476236,24.8149477800361,26.7345188079724,26.9073391058699,20.9742398756389,11.0112984658616,2.07018160301766,0.857935284025323,-2.36519089464053,-2.33546378167293,-0.886624832722333,9.89873262447069,17.6499856834392,22.3071005492378,24.5193761411154,25.5429631776685,21.1084863564344,13.7321878178992,7.817296681968,-2.01560054334135
