year,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,mam,mjj
1952,13.37208,12.69878,12.09723,11.92984,11.81089,12.35996,13.16743,13.63295,14.2376,13.49288,13.62146,14.27115,15.34693,12.59785,11.74381,13.05344667,13.78781
1953,15.34693,12.59785,11.74381,12.39351,12.96586,12.53294,13.26805,13.70997,13.9758,13.15127,13.22146,14.43916,13.93637,12.45437,10.9789,13.17032,13.61234667
1954,13.93637,12.45437,10.9789,11.42829,12.3845,12.33356,12.9668,13.41183,13.74568,13.29257,13.40748,14.02705,13.86587,12.88822,11.06213,12.90406333,13.48336
1955,13.86587,12.88822,11.06213,11.62735,13.06617,12.51151,13.09941,13.38605,13.79133,13.36369,13.45158,13.68668,13.95966,13.96369,12.13077,12.99899,13.51369
1956,13.95966,13.96369,12.13077,11.66058,12.12487,12.5022,13.29972,13.914,13.66524,13.65096,13.82953,14.35779,14.02178,14.155,12.18388,13.23864,13.7434
1957,14.02178,14.155,12.18388,10.56617,11.43418,12.51617,12.47115,12.6786,13.23015,13.17456,13.54071,13.80624,12.82022,11.86089,11.74071,12.55530667,13.02777
1958,12.82022,11.86089,11.74071,11.41648,12.9199,12.35872,12.95531,13.52394,13.84506,13.09816,13.02984,13.41897,13.41525,12.72208,11.90779,12.94599,13.48905333
1959,13.41525,12.72208,11.90779,12.06338,11.36866,12.87518,13.61308,12.76338,13.60282,13.26587,13.0817,13.98357,13.74351,12.66121,11.573,13.08388,13.21069
1960,13.74351,12.66121,11.573,11.93729,12.76369,12.24381,13.06215,14.02922,13.85748,13.1609,13.60282,13.81338,13.8019,12.97611,12.14195,13.11172667,13.68253333
1961,13.8019,12.97611,12.14195,12.30966,12.4963,12.74785,13.57581,14.33854,13.71586,13.42891,12.93574,13.74599,13.63544,12.15655,11.82549,13.55406667,13.82777
1962,13.63544,12.15655,11.82549,12.00127,12.5168,13.55406,13.43358,14.06525,13.75096,13.21773,13.84848,13.52301,13.45811,12.19661,12.21183,13.68429667,13.67798
1963,13.45811,12.19661,12.21183,13.29755,13.15965,13.49475,12.74662,12.6345,13.60872,13.27394,13.19941,13.49537,14.26681,13.03481,12.20934,12.95862333,13.17238667
1964,14.26681,13.03481,12.20934,11.89568,11.38605,12.86462,12.43979,13.42021,13.83015,13.2081,13.45469,13.19537,14.38016,13.55686,11.66524,12.90820667,13.48615333
1965,14.38016,13.55686,11.66524,11.73822,12.19878,12.68139,12.99351,13.86152,13.61276,13.14692,13.8991,13.82519,13.76929,12.76866,12.38698,13.17880667,13.5404
1966,13.76929,12.76866,12.38698,12.61152,12.54909,13.22829,13.22488,13.93916,14.41897,13.32115,13.04071,13.05779,13.34196,13.64723,11.98481,13.46411,13.89309333
1967,13.34196,13.64723,11.98481,12.82643,12.01151,13.35996,12.69165,13.21214,13.42425,13.03201,12.99878,13.16711,13.70221,11.95158,11.73605,13.08791667,13.2228
1968,13.70221,11.95158,11.73605,11.85282,12.30313,12.89195,13.22177,13.08574,13.79009,13.27549,13.35655,14.32985,13.58979,12.30903,10.90406,13.06648667,13.38377333
1969,13.58979,12.30903,10.90406,10.61928,10.62859,12.22425,12.77736,13.63605,13.7053,13.22332,13.6699,13.02301,12.74537,13.14723,12.13201,12.87922,13.52155667
1970,12.74537,13.14723,12.13201,11.76711,12.88978,12.10468,13.52736,14.21897,13.8317,13.37425,13.33108,13.52581,13.59072,13.6581,11.96555,13.28367,13.80830667
1971,13.59072,13.6581,11.96555,12.35748,12.46804,13.4494,13.56277,13.86866,13.80158,13.17083,12.96773,12.99723,13.37736,12.68481,11.5376,13.62694333,13.61369
1972,13.37736,12.68481,11.5376,11.42984,11.66307,12.73947,13.56681,13.18419,13.79971,13.09816,13.16928,13.47705,13.27705,12.23947,11.01897,13.16349,13.36068667
1973,13.27705,12.23947,11.01897,11.0081,11.82797,11.74412,12.91525,13.62984,13.46586,13.5199,13.48543,13.64196,13.60594,13.52767,12.6817,12.76307,13.53853333
1974,13.60594,13.52767,12.6817,10.69723,11.71151,12.0171,13.55469,13.76525,13.90282,13.08232,13.15469,13.0814,13.78668,12.88357,10.71865,13.11234667,13.58346333
1975,13.78668,12.88357,10.71865,11.82207,11.45064,12.4758,12.78916,13.15562,13.53636,13.21897,13.55096,12.84972,13.74848,12.73574,11.71804,12.80686,13.30365
1976,13.74848,12.73574,11.71804,12.78885,11.73108,12.24785,12.94879,13.19382,13.36679,13.24071,13.41742,13.46494,13.18047,13.16369,12.33729,12.79682,13.26710667
1977,13.18047,13.16369,12.33729,10.57735,13.74351,13.59164,13.35221,13.14164,13.79071,13.2845,13.0404,13.28512,13.05935,11.95903,11.14505,13.36183,13.40561667
1978,13.05935,11.95903,11.14505,10.94909,11.17425,12.09226,13.72737,13.52767,13.78356,13.64382,13.56804,13.85314,14.046,11.57704,12.08822,13.11576667,13.65168333
1979,14.046,11.57704,12.08822,10.92456,11.98356,12.31369,12.88109,13.23264,13.74288,13.0699,13.06276,13.42239,14.30873,13.08823,12.02766,12.80914,13.34847333
1980,14.30873,13.08823,12.02766,10.77301,11.45406,11.88449,13.60532,13.48605,13.83667,13.88543,13.48077,13.78978,13.76929,13.30779,12.47425,12.99195333,13.73605
1981,13.76929,13.30779,12.47425,11.75003,12.39288,12.70251,13.16867,13.42673,13.10903,12.53916,12.7435,13.48233,12.95345,12.79723,12.02021,13.09930333,13.02497333
1982,12.95345,12.79723,12.02021,11.95779,11.13108,12.08729,13.04941,13.28108,13.39692,13.32798,12.7317,12.85872,12.91525,10.95841,10.89723,12.80592667,13.33532667
1983,12.91525,10.95841,10.89723,11.13543,11.86058,11.61555,12.63171,13.24785,13.34847,13.27736,13.37052,13.43947,12.78016,12.72332,11.20468,12.49837,13.29122667
1984,12.78016,12.72332,11.20468,11.64102,12.10189,12.37518,12.92426,13.39941,13.50996,12.9345,13.30624,13.61028,13.19662,12.04412,10.19754,12.89961667,13.28129
1985,13.19662,12.04412,10.19754,10.86431,12.04319,11.79008,13.87146,13.30779,13.63387,13.55934,13.17922,13.28792,12.77302,12.04381,11.56089,12.98977667,13.50033333
1986,12.77302,12.04381,11.56089,12.7845,11.74785,12.51524,13.03326,13.2581,13.18294,13.38388,13.46618,13.50531,12.99941,11.50282,10.83636,12.93553333,13.27497333
1987,12.99941,11.50282,10.83636,12.07891,11.80717,11.97456,13.80314,13.16773,13.6199,13.12611,13.63419,13.87829,12.96028,12.67798,11.69412,12.98181,13.30458
1988,12.96028,12.67798,11.69412,11.24412,11.99971,12.31245,13.48202,13.74102,13.82922,12.92673,12.90469,13.28823,13.27457,13.22363,12.18667,13.17849667,13.49899
1989,13.27457,13.22363,12.18667,11.65593,11.42828,12.7199,13.63016,13.46183,13.14754,12.83916,13.06431,13.39164,13.88544,12.7522,11.76804,13.27063,13.14951
1990,13.88544,12.7522,11.76804,11.18574,11.37859,12.33947,12.82643,13.34288,14.14009,13.11959,13.56897,13.89258,13.955,13.67984,12.04909,12.83626,13.53418667
1991,13.955,13.67984,12.04909,10.90344,12.07922,11.46679,12.96184,13.09413,13.05903,13.19568,13.32456,13.3845,13.83295,12.78232,10.72207,12.50758667,13.11628
1992,13.83295,12.78232,10.72207,11.35344,12.20748,11.41213,13.42799,12.53139,12.86804,13.02953,12.78854,13.19506,14.05904,12.6876,10.6966,12.45717,12.80965333
1993,14.05904,12.6876,10.6966,10.58978,11.20996,11.99008,13.42768,12.7904,13.31214,12.73916,12.85717,13.92456,13.60407,11.99816,11.75282,12.73605333,12.94723333
1994,13.60407,11.99816,11.75282,11.51307,11.90655,12.88201,13.4165,13.75251,13.364,13.14754,13.44754,13.42891,12.75159,12.26959,10.75002,13.35034,13.42135
1995,12.75159,12.26959,10.75002,11.11897,12.41959,12.55779,12.9137,13.21742,13.28108,13.18357,13.16307,13.13419,13.74786,14.05313,11.53853,12.89630333,13.22735667
1996,13.74786,14.05313,11.53853,11.66338,12.17828,11.81524,12.90128,13.33854,13.08729,12.53046,12.73077,13.15034,13.25562,11.96617,12.6317,12.68502,12.98543
1997,13.25562,11.96617,12.6317,11.75562,12.34319,12.71866,12.7901,13.20686,13.02394,13.29661,13.15841,13.48295,13.58885,11.51679,10.63511,12.90520667,13.17580333
1998,13.58885,11.51679,10.63511,10.59443,11.09226,11.79257,12.86743,12.81866,13.223,12.83326,12.76245,13.52022,13.18699,13.34319,12.14195,12.49288667,12.95830667
1999,13.18699,13.34319,12.14195,11.62239,12.90686,11.98015,12.88171,13.43046,13.06648,12.51711,13.36121,13.27674,13.39724,12.6699,12.65872,12.76410667,13.00468333
2000,13.39724,12.6699,12.65872,11.26462,12.51742,13.0668,13.30283,13.59816,12.75437,12.99133,13.31587,13.32053,12.10562,11.70561,11.02394,13.32259667,13.11462
2001,12.10562,11.70561,11.02394,10.9522,11.97456,12.68201,12.98078,13.38077,13.51027,13.08232,13.00096,13.0758,13.49507,12.62767,10.90313,13.01452,13.32445333
2002,13.49507,12.62767,10.90313,11.87953,13.0522,13.25189,12.71494,12.75375,13.39102,12.76338,13.20624,13.18885,12.70811,12.57301,10.39816,12.90686,12.96938333
2003,12.70811,12.57301,10.39816,11.65344,10.66648,11.86307,12.23978,12.74599,12.88232,12.68015,12.46058,12.84972,13.54413,11.7994,11.1317,12.28294667,12.76948667
2004,13.54413,11.7994,11.1317,10.92518,12.11959,12.69785,12.98917,12.94878,12.96089,12.64754,12.74847,13.28419,12.76649,11.52052,10.99909,12.8786,12.85240333
2005,12.76649,11.52052,10.99909,10.62797,10.77518,12.16586,13.01153,12.84381,13.02487,12.74195,12.45965,13.11959,12.78978,12.79692,11.74133,12.67373333,12.87021
2006,12.78978,12.79692,11.74133,11.02642,11.85344,12.62425,13.13233,13.26369,13.5463,12.83419,12.9581,13.17798,12.86742,12.3994,11.49971,13.00675667,13.21472667
2007,12.86742,12.3994,11.49971,12.09537,12.17828,12.39319,12.72705,13.48201,13.17363,12.79941,13.20965,13.29413,13.09817,13.41928,11.10623,12.86741667,13.15168333
2008,13.09817,13.41928,11.10623,10.57518,11.93356,13.35158,13.37581,13.17829,13.23294,12.97239,12.85034,12.86183,12.85034,12.32394,11.79288,13.30189333,13.12787333
2009,12.85034,12.32394,11.79288,11.79226,12.02611,12.54071,12.69631,12.62363,13.14723,12.90158,13.07922,12.44195,12.81898,12.26431,10.72735,12.62021667,12.89081333
