year,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,cool.p,warm.p
1967,4.1,6.499999,22.4,9.400002,14,6.699999,2.4,6.199999,43.4,101.5,123.2,49.5,11,10.2,47.7,65.5,323.799999
1968,11,10.2,47.7,10.9,35,47.1,29.8,33.4,7.9,100.9,67,12,8.599998,29.2,13.9,191.7,221.2
1969,8.599998,29.2,13.9,28.9,20.9,18,31.5,64,45.5,77.2,124.5,50.40001,99,6.699999,25.7,150.999998,361.60001
1970,99,6.699999,25.7,1,5.200001,35,8.300002,28,33.7,131.5,83.09999,58.3,22.2,9.099999,2.700001,180.900002,334.59999
1971,22.2,9.099999,2.700001,12.9,14.4,5.799999,20.5,16,7.299999,125.2,56.2,73.3,49.5,26.2,45.6,87.599999,277.999999
1972,49.5,26.2,45.6,6.200001,1.400002,4.599998,1.500002,17.4,26.8,73.2,86.1,79.3,109.9,22.7,20.8,135.000003,282.8
1973,109.9,22.7,20.8,15.9,20.3,66.6,16.6,30.8,18.9,68.2,50.1,38.6,12.2,5.699999,3.300001,272.8,206.6
1974,12.2,5.699999,3.300001,49.7,3,22.3,11,1.500002,3.699999,66.9,54,22.7,91.5,14.8,22.8,107.2,148.800001
1975,91.5,14.8,22.8,25,50.8,24.9,32.7,11.7,9.299999,60.8,31.1,85.2,0.5999985,19.1,8.000001,262.5,198.099999
1976,0.5999985,19.1,8.000001,4.300001,19.3,5.9,16.9,21.5,13,61.2,63.59999,28,5.800001,11.4,0.7000008,74.1000005,187.29999
1977,5.800001,11.4,0.7000008,32.1,11,10.6,54.6,22.6,25.4,46,106,25.8,4.699999,40.6,7.400002,126.2000018,225.8
1978,4.699999,40.6,7.400002,20.9,31.1,41,5.6,57.7,57,45,40.4,33.2,28.8,71.59999,47,151.300001,233.3
1979,28.8,71.59999,47,50.40001,7.400002,15.4,18.4,60.8,43.1,31.9,68.7,12.3,11.6,21.9,19.4,239.000002,216.8
1980,11.6,21.9,19.4,36.7,32.4,26.8,23.9,39.1,2.900002,22.7,30.2,48.4,17.9,11.8,8.5,172.7,143.300002
1981,17.9,11.8,8.5,1.500002,12.2,41.5,18.6,31.7,27.5,72.5,72.3,67,29.9,14.3,0.6000004,112.000002,271
1982,29.9,14.3,0.6000004,29,29.8,28.8,3.700001,36.3,12.8,52.3,90.3,65.6,27,32.4,47.9,136.1000014,257.3
1983,27,32.4,47.9,28.1,40.6,43.7,15.1,20.9,13.5,40.3,45.9,25.5,40.7,11.2,48,234.8,146.1
1984,40.7,11.2,48,18.8,7.1,21.6,17,9.9,61.4,54.2,83.19999,48.8,70.8,12.4,62,164.4,257.49999
1985,70.8,12.4,62,31.2,17.7,75.4,43.7,29,42.1,69.7,62.6,89.59999,68.3,20.9,5.800001,313.2,292.99999
1986,68.3,20.9,5.800001,3.200001,54,8.3,31.7,31.5,74.5,44.6,58.09999,61.2,61.1,60.2,23.5,192.200002,269.89999
1987,61.1,60.2,23.5,40,35.6,8.899999,17.4,37.5,30.9,47.2,75.2,20.6,12.2,37.6,24.5,246.699999,211.4
1988,12.2,37.6,24.5,26.7,7.300001,15.4,44.9,19.7,52,98.2,104.1,56.1,12.9,18.4,5.7,168.600001,330.1
1989,12.9,18.4,5.7,28.6,18.8,13.4,2.200001,24.8,13.4,79.9,62.5,47.2,33.8,1.4,5.900001,100.000001,227.8
1990,33.8,1.4,5.900001,29.2,30.9,17.4,38.6,24.7,18.3,86.59999,63.7,104.9,12.7,42.2,35.6,157.200001,298.19999
1991,12.7,42.2,35.6,9.900001,16.4,35.6,0.6000004,29.8,34.4,93.89999,55.8,57.7,11,56.8,50.1,153.0000014,271.59999
1992,11,56.8,50.1,20,16.4,17.6,7.800001,50.3,10.4,43.5,74.6,13.7,21.6,20.5,32.8,179.700001,192.5
1993,21.6,20.5,32.8,63.2,41.5,20.3,4.1,12.8,24,57.9,85.49999,19.4,15.9,28.8,8.000001,204,199.59999
1994,15.9,28.8,8.000001,15.6,11.5,35.3,13.8,43.8,11.2,53.4,96.49999,51.1,81.1,57.2,12.8,128.900001,255.99999
1995,81.1,57.2,12.8,21.3,17.7,11.3,33.3,21.3,19.7,23,45.59999,103.3,1.00E-01,1.699999,6.100001,234.7,212.89999
1996,1.00E-01,1.699999,6.100001,9.600002,10,7.099998,3.400002,7.699999,132,63,69.4,72.4,48.9,47.3,2.6,38.00000047,344.499999
1997,48.9,47.3,2.6,23.2,10.7,5.799999,61.5,20,50.6,84.40001,103.4,105.7,21.5,48.5,39.5,199.999999,364.10001
1998,21.5,48.5,39.5,7.6,28.2,44.2,27.9,4.200001,10,108.9,38.1,11.9,71.4,26.3,12.1,217.4,173.100001
1999,71.4,26.3,12.1,6.000001,0.3999996,40.9,42.7,29.4,25.3,69.1,131.9,25.3,15,0.3000011,0.7000008,199.8000006,281
2000,15,0.3000011,0.7000008,17.3,14.8,60.4,5.6,6.700001,32.6,51.9,28.4,17.9,95.39999,41.4,10.8,114.1000019,137.500001
2001,95.39999,41.4,10.8,17.6,16,15.3,19.1,21,12.1,67.4,74.8,28.8,9.6,41.3,12.7,215.59999,204.1
2002,9.6,41.3,12.7,20.1,4.200001,4.1,17.7,3.9,9.5,37.2,77.8,81.59999,32.4,23.4,20.4,109.700001,209.99999
2003,32.4,23.4,20.4,0.7000008,43.1,49.5,1.799999,10.4,15.5,23.2,30.3,26.9,44.2,26.4,7.800001,171.2999998,106.3
2004,44.2,26.4,7.800001,13.2,51.7,27.6,96.8,1.600002,34.8,94.9,29,53,36.9,78.89999,15.4,267.700001,213.300002
2005,36.9,78.89999,15.4,65.8,82.90001,43.1,38,21.7,18,43.3,42.4,121.4,34.9,12.7,7.1,361,246.8
2006,34.9,12.7,7.1,3.6,1.600002,11.3,6.6,1.799999,46.7,150.9,153.6,51.2,59.4,2.699999,84.7,77.800002,404.199999
2007,59.4,2.699999,84.7,14,28.9,33.9,34.6,80.60001,31.6,74.5,45.2,47.3,6.9,9.699998,50.9,258.199999,279.20001
2008,6.9,9.699998,50.9,16.7,19.7,45.7,6.200001,11,24.1,128,68.6,6.299999,42.5,14.1,26.1,155.799999,237.999999
2009,42.5,14.1,26.1,4.300001,9.500002,16.3,16,19.5,40.4,42.3,40.7,55.3,54.4,2.4,11.5,128.800003,198.2
